名前,学園,部活,年齢,誕生日,身長,HP,攻撃力,治癒力,命中値,会心値,安定値,CC強化力,会心ダメージ,射程距離,CC抵抗力,防御力,回避値,防御貫通値,コスト回復力
アカネ（バニーガール）,ミレニアムサイエンススクール2年生,Cleaning&Clearing,16歳,4月1日,164cm,18304(★5Lv90),4031(★5Lv90),6545(★5Lv90),1131,251,1141,100,200%,1000,100,66/347,1093,0,700
アカネ（制服）,ミレニアムサイエンススクール2年生,Cleaning&Clearing,16歳,4月1日,164cm,17850(★5Lv90),4460(★5Lv90),6707(★5Lv90),579,257,1113,100,200%,1000,100,64/354,1066,0,700
アカリ（正月）,ゲヘナ学園3年生,美食研究会,17歳,12月9日,167cm,26054(★5Lv90),3510(★5Lv90),7123(★5Lv90),711,273,1454,100,200%,1000,100,94/517,724,0,700
アコ,ゲヘナ学園3年生,風紀委員会,17歳,12月22日,165cm,19565(★5Lv90),2055(★5Lv90),6870(★5Lv90),105,211,1086,100,200%,1000,100,18/103,1039,0,700
アコ（ドレス）,ゲヘナ学園3年生,風紀委員会,17歳,12月22日,165cm,28761(★5Lv90),2016(★5Lv90),6223(★5Lv90),439,219,900,100,200%,550,100,18/99,720,0,700
アズサ,トリニティ総合学園2年生,補習授業部,16歳,12月26日,149cm,27345(★5Lv90),2635(★5Lv90),5714(★5Lv90),706,201,1384,100,200%,650,100,19/105,792,0,700
アズサ（水着）,トリニティ総合学園2年生,補習授業部,16歳,12月26日,149cm,24141(★5Lv90),2937(★5Lv90),6370(★5Lv90),787,225,1224,100,200%,650,100,17/93,699,0,700
アスナ（バニーガール）,ミレニアムサイエンススクール3年生,Cleaning&Clearing,17歳,3月24日,167cm,26154(★5Lv90),3036(★5Lv90),5958(★5Lv90),736,210,1324,100,200%,650,100,18/99,757,0,700
アスナ（制服）,ミレニアムサイエンススクール3年生,Cleaning&Clearing,17歳,3月24日,167cm,24927(★5Lv90),3287(★5Lv90),5571(★5Lv90),688,196,1420,100,200%,650,100,17/97,812,0,700
アツコ,アリウス分校1年生,アリウススクワッド,15歳,1月20日,158cm,56204(★5Lv90),1904(★5Lv90),6127(★5Lv90),108,216,1284,100,200%,350,100,27/151,1321,0,700
アリス,ミレニアムサイエンススクール1年生,ゲーム開発部,??歳,3月25日,152cm,18016(★5Lv.90),5859(★5Lv.90),6510(★5Lv.90),690,230,1188,100,200%,850,100,68/374,170,0,700
アリス（メイド）,ミレニアムサイエンススクール1年生,ゲーム開発部,??歳,3月25日,152cm,20948(★5Lv90),5530(★5Lv90),5724(★5Lv90),606,202,1384,100,200%,850,100,79/434,197,0,700
アリス（臨戦）,ミレニアムサイエンススクール1年生,ゲーム開発部,??歳,3月25日,152cm,24055(★5Lv90),5616(★5Lv90),5773(★5Lv90),713,203,1372,100,200%,650,100,17/93,705,0,700
アル,ゲヘナ学園2年生,便利屋68,16歳,3月12日,160cm,23837(★5Lv90),5134(★5Lv90),5694(★5Lv90),905,201,1988,100,200%,750,100,19/109,201,0,700
アル（正月）,ゲヘナ学園2年生,便利屋68,16歳,3月12日,160cm,23727(★5Lv90),4396(★5Lv90),5720(★5Lv90),909,202,1976,100,200%,750,100,19/108,197,0,700
アル（ドレス）,ゲヘナ学園2年生,便利屋68,16歳,3月12日,160cm,21097(★5Lv90),3923(★5Lv90),5715(★5Lv90),908,201,1980,100,200%,750,100,17/94,198,0,700
イオリ,ゲヘナ学園2年生,風紀委員会,16歳,11月8日,157cm,28399(★5Lv90),4457(★5Lv90),5497(★5Lv90),874,194,2056,100,200%,650,100,20/113,194,0,700
イオリ（水着）,ゲヘナ学園2年生,風紀委員会,16歳,11月8日,157cm,21429(★5Lv90),4884(★5Lv90),6262(★5Lv90),995,221,1784,100,200%,750,100,17/98,178,0,700
イズナ,百鬼夜行連合学院1年生,忍術研究部,15歳,12月16日,155cm,42921(★5Lv90),2568(★5Lv90),5590(★5Lv90),108,246,1416,100,200%,450,100,22/121,1066,0,700
イズナ（水着）,百鬼夜行連合学院1年生,忍術研究部,15歳,12月16日,155cm,40217(★5Lv90),2701(★5Lv90),5952(★5Lv90),115,262,1324,100,200%,450,100,21/117,1024,0,700
イズミ,ゲヘナ学園2年生,美食研究会,16歳,5月11日,161cm,24465(★5Lv90),2713(★5Lv90),5546(★5Lv90),97,244,1428,100,200%,750,100,81/427,195,0,700
イズミ（正月）,ゲヘナ学園2年生,美食研究会,16歳,5月11日,161cm,25827(★5Lv90),3533(★5Lv90),7173(★5Lv90),716,275,1444,100,200%,1000,100,93/514,179,0,700
イチカ,トリニティ総合学園2年生,正義実現委員会,16歳,11月11日,163cm,26465(★5Lv87),3783(★5Lv87),5603(★5Lv87),708,202,1380,100,200%,650,100,19/105,790,0,700
イロハ,ゲヘナ学園2年生,万魔殿,16歳,11月16日,151cm,20797(★5Lv90),3830(★5Lv90),6480(★5Lv90),896,248,2309,100,200%,1000,100,20/110,200,0,700
ウイ,トリニティ総合学園3年生,図書委員会,17歳,4月23日,165cm,22879(★5Lv90),3322(★5Lv90),5919(★5Lv90),941,209,1908,100,200%,750,100,19/104,190,0,700
ウイ（水着）,トリニティ総合学園3年生,図書委員会,17歳,4月23日,165cm,21600(★5Lv90),3579(★5Lv90),6221(★5Lv90),989,219,1800,100,200%,750,100,18/99,180,0,700
ウタハ（応援団）,ミレニアムサイエンススクール3年生,エンジニア部,17歳,11月13日,162cm,39750(★5Lv85),4589(★5Lv85),5518(★5Lv85),111,252,1384,100,200%,450,100,22/116,1067,0,700
ウミカ,百鬼夜行連合学院1年生,お祭り運営委員会,15歳,7月1日,165cm,23924(★5Lv90),3777(★5Lv90),5674(★5Lv90),701,250,1396,100,200%,650,100,19/109,798,0,700
エイミ,ミレニアムサイエンススクール1年生,特異現象捜査部,15歳,5月1日,167cm,62605(★5Lv90),1576(★5Lv90),5535(★5Lv90),586,195,2044,100,200%,350,100,183/1010,234,0,700
エイミ（水着）,ミレニアムサイエンススクール1年生,特異現象捜査部,15歳,5月1日,167cm,25428(★5Lv87),3391(★5Lv87),6942(★5Lv87),545,272,2088,100,200%,1000,100,94/506,181,0,700
